Temperature,Relative Humidity,Pressure
25.83,85.81,97.7
25.33,86.81,97.68
24.91,87.88,97.67
24.52,89.31,97.69
24.23,90.62,97.72
24.19,91.25,97.75
25.52,85.62,97.78
27.13,79.94,97.81
30.36,66.5,97.82
32.46,57.62,97.8
33.62,54.12,97.76
34.29,52.69,97.68
34.65,52.56,97.6
34.72,53.19,97.52
34.49,54.19,97.45
34.02,55.69,97.4
33.08,60.38,97.39
31.33,70.06,97.41
29.75,74,97.42
30.05,70.19,97.46
30.08,68.38,97.5
29.33,71.38,97.52
28.28,76.12,97.54
27.55,79.25,97.56
26.9,81.81,97.57
26.45,83.25,97.57
26.09,84.31,97.57
25.77,84.94,97.56
25.5,85.69,97.57
25.19,86.81,97.6
26.21,83.5,97.65
28.42,74,97.71
31.35,61.88,97.77
33.16,55.06,97.79
34.4,51.25,97.78
35.22,48.94,97.73
35.73,47.62,97.67
35.84,47.31,97.59
35.59,47.75,97.54
34.98,49.12,97.51
33.87,53.88,97.53
31.79,63.81,97.56
29.78,69.19,97.61
29.78,67.38,97.68
29.69,65.88,97.76
28.95,68.12,97.8
27.89,72.5,97.83
26.52,78.88,97.86
25.46,83.62,97.88
24.8,86.19,97.89
24.3,87.94,97.89
24.05,88.19,97.89
24.19,86.25,97.91
24.5,83.75,97.97
25.61,81.5,98.06
27.33,74.88,98.14
31.06,56.5,98.2
32.95,50,98.21
33.93,48.44,98.18
34.47,48,98.11
34.79,48.12,98.02
34.75,49.19,97.93
34.37,50.56,97.86
33.84,52.12,97.82
32.79,57.12,97.81
31.02,66.25,97.83
29.13,72.69,97.86
28.9,72.25,97.89
29.15,68.94,97.94
29.12,67.62,97.96
28.88,68,97.97
28.23,70.69,97.97
27.43,74.44,97.97
26.65,78.88,97.96
25.94,82.62,97.94
25.31,85.12,97.93
24.78,86.69,97.94
24.36,87.75,97.96
25.23,84.12,98.01
26.55,78.12,98.07
30.64,58.31,98.12
32.94,49.5,98.13
34.29,45.19,98.11
34.93,43,98.06
35.43,41.69,97.98
35.33,41.19,97.89
35.01,41.94,97.82
34.05,45.06,97.79
32.59,51.19,97.78
30.59,61.44,97.79
28.95,67.81,97.82
28.65,68.5,97.87
28.79,66.12,97.91
